(<mark><b>Motor</b></mark> wird angelassen);"der Motor [Noun]:Maschine, die durch Umwandlung von Energie Kraft zum Antrieb erzeugt Kraft, die etwas antreibt; jemand, der etwas voranbringt Maschine, die durch Umwandlung von Energie Kraft zum Antrieb erzeugt© Bibliographisches Institut, Mannheim/Bildarchiv Paturi© Bibliographisches Institut, Mannheim/Bildarchiv PaturiAusspracheauch:.";german,de,sentence::mining,Tatort,sentence::recognition
(Motor wird <mark><b>angelassen</b></mark>); anlassen [Verb]:in Gang setzen anbehalten, nicht ausziehen in Funktion belassen, nicht ausmachen, nicht abstellen sich zu Beginn in bestimmter Weise entwickeln, erweisen schelten, anfahren erwärmen und dadurch härten in Gang setzenBeispielden Motor, Wagen, die Triebwerke anlassen.;german,de,sentence::mining,Tatort,sentence::recognition
Machen Sie den <mark><b>Koffer</b></mark> auf!;der Koffer [Noun]:größeres rechteckiges Behältnis mit aufklappbarem Deckel und Handgriff zum Tragen an einer Schmalseite, das dazu bestimmt ist, Kleider und andere für die Reise notwendige Dinge aufzunehmen© MEV Verlag, Augsburg© MEV Verlag, AugsburgBeispieleein großer, schwerer, handlicher, lederner, schwarzer Kofferein Koffer aus Leder, Pappe, Kunststoff, Aluminiumein praktischer Koffer für das Werkzeug, die Bohrmaschine, die Fotoausrüstung, den Schmuckein Koffer voll Gelddie Koffer packen, auspackeneinen Koffer aufgebenetwas in den Koffer packen, tun.;german,de,sentence::mining,Tatort,sentence::recognition
Die <mark><b>Sitzbank</b></mark>, bitte!;die Sitzbank [Noun]:Bench as seating bench under trees - © MEV Verlag, Augsburg bench under trees - © MEV Verlag, Augsburg Bank als SitzmöbelSitzbank unter Bäumen - © MEV Verlag, AugsburgSitzbank unter Bäumen - © MEV Verlag, Augsburg.;german,de,sentence::mining,Tatort,sentence::recognition
Das Kind <mark><b>schläft</b></mark>.; schlafen [Verb]:sich im Zustand des Schlafes befinden in bestimmter Weise schlafen können sich durch Schlafen in einen bestimmten Zustand bringen übernachten, untergebracht sein koitieren nacheinander mit verschiedenen Partnern koitieren unaufmerksam sein, nicht aufpassen sich im Zustand des Schlafes befindenBeispielefest, auf dem Bauch, bei offenem Fenster schlafenschlafen gehensich schlafen legenschlaf gut, schön!das Kind schläft noch halb sich schlafend stellen<in übertragener Bedeutung>: im Winter schläft die Natur.;german,de,sentence::mining,Tatort,sentence::recognition
Und <mark><b>außerdem</b></mark> geht es ihm nicht gut.; außerdem [Adverb]:darüber hinaus, überdiesBeispieleder Angeklagte ist außerdem vorbestraft…, und außerdem ist es gesünderes gab Bier und außerdem Sekt.;german,de,sentence::mining,Tatort,sentence::recognition
<mark><b>Handschuhfach</b></mark>!; Handschuhfach [Noun]:Fach im Armaturenbrett eines Autos, in dem kleinere Gegenstände abgelegt werden können.;german,de,sentence::mining,Tatort,sentence::recognition
(nicht <mark><b>hörbar</b></mark>); hörbar [Adjective]:mit dem Gehör wahrzunehmenBeispielenicht mehr hörbare SchwingungenSchritte wurden hörbar.;german,de,sentence::mining,Tatort,sentence::recognition
<mark><b>Hörst</b></mark> du noch?; Hörst [Noun]:männlicher Vorname meist auf Felsen, in schwer erreichbarer Höhe gebautes großes Nest großer Vögel Fliegerhorst Strauch oder Gebüschgruppe Büschel dicht nebeneinanderstehender, gleich stark und unverzweigt von unten herauswachsender Triebe einer Pflanze gehobener oder infolge Absinkens der Umgebung stehen gebliebener Teil der Erdkruste meist auf Felsen, in schwer erreichbarer Höhe gebautes großes Nest großer Vögel Horst mit Störchen - © MEV Verlag, AugsburgHorst mit Störchen - © MEV Verlag, AugsburgBeispielder Adler fliegt auf seinen Horst.;german,de,sentence::mining,Tatort,sentence::recognition
an die <mark><b>Strafverfolgungsbehörde</b></mark>; Strafverfolgungsbehörde [Noun]:mit der Verfolgung von Straftaten befasste Behörde.;german,de,sentence::mining,Tatort,sentence::recognition
"""Auf einem <mark><b>Rastplatz</b></mark> bei Leipzig";der Rastplatz [Noun]:Platz zum Rasten an einer Fernstraße, besonders Autobahn gelegener Parkplatz Platz zum Rasten © digital-fineart - Fotolia.com© digital-fineart - Fotolia.comBeispielwir suchten uns einen schattigen Rastplatz.;german,de,sentence::mining,Tatort,sentence::recognition
<mark><b>fand</b></mark> man einen toten;" finden [Verb]:zufällig oder suchend auf jemanden, etwas treffen, stoßen; jemanden, etwas entdecken zum Vorschein kommen bekommen, erlangen, erwerben, sodass man es für längere Zeit behalten kann durch Überlegung auf etwas kommen in bestimmter Weise vorfinden in bestimmter Weise einschätzen, beurteilen, empfinden kommen, gelangen jemanden, etwas in bestimmter Weise sehen, erfahren, erleben einer Sache teilhaftig werden sich in etwas schicken, mit etwas abfinden stehlen zufällig oder suchend auf jemanden, etwas treffen, stoßen; jemanden, etwas entdeckenBeispielesie hat im Zug eine Uhr gefundendie Polizei hat eine Spur gefundenso etwas findet man heute nicht mehr.";german,de,sentence::mining,Tatort,sentence::recognition
fand man einen <mark><b>toten</b></mark>;" tot [Adjective]:in einem Zustand, in dem die Lebensfunktionen erloschen sind; nicht mehr lebend, ohne Leben als Mensch, Lebewesen nicht mehr existierend; gestorben organisch nicht mehr belebt, abgestorben sich als Körper nicht aus sich heraus entwickeln könnend; anorganisch keine Frische und Lebendigkeit aufweisend ohne Anzeichen, Spuren von Leben, Bewegung; leb-, bewegungslos; ausgestorben, unbelebt nicht nutzbar, nicht genutzt nicht mehr brauchbar, erledigt, am Ende; ausgedient habend, nicht mehr zur Diskussion stehend in einem Zustand, in dem die Lebensfunktionen erloschen sind; nicht mehr lebend, ohne LebenBeispieletote Soldatenein totes Tierder Käfer stellte sich tot wenn du das tust, bist du ein toter Mann!sofort, auf der Stelle tot seinsie lag tot im Bettein tot geborenes Babyder tot geglaubte Ehemanner konnte nur noch tot geborgen werdentot umfallen, zusammenbrechenklinisch tot sein<in übertragener Bedeutung>: die Leitung ist tot.";german,de,sentence::mining,Tatort,sentence::recognition
Keine <mark><b>Verletzungen</b></mark>;"die Verletzung [Noun]:verletzte Stelle am, im Körper das Verletzen; das Verletztwerden verletzte Stelle am, im KörperBehandlung der Verletzung eines Fußballspielers - © Daniel Sainthorant - Fotolia.comBehandlung der Verletzung eines Fußballspielers - © Daniel Sainthorant - Fotolia.comBeispieleschwere Verletzungen erleiden, davontragener hat eine Verletzung am Kopfsie wurde mit inneren Verletzungen ins Krankenhaus gebrachter ist den schweren Verletzungen erlegen.";german,de,sentence::mining,Tatort,sentence::recognition
Hier, <mark><b>lies</b></mark> doch mal!; lesen [Verb]:einzeln von etwas abnehmen, aufnehmen einzeln in die Hand nehmen und Schlechtes dabei aussondern einzeln von etwas abnehmen, aufnehmenBeispieleÄhren, Beeren, Trauben lesenHolz vom Boden lesen etwas Geschriebenes, einen Text mit den Augen und dem Verstand erfassen vorlesen, lesend vortragen regelmäßig Vorlesungen halten in einem bestimmten Stil geschrieben sein und sich entsprechend lesen lassen ein umfangreiches Werk bis zum Ende lesen etwas aus etwas erkennend entnehmen Daten aus einem Datenspeicher oder -träger entnehmen etwas Geschriebenes, einen Text mit den Augen und dem Verstand erfassenBeispielelaut, leise, schnell, langsam lesenlesen lernendas Kind kann schon lesenabends im Bett noch lesenetwas aufmerksam, nur flüchtig lesenviel leseneinen Satz zweimal lesen müssendie Zeitung, einen Roman, die Post, die Mail lesenein Drama mit verteilten Rollen lesenetwas am Schwarzen Brett lesen in einem Buch lesenlange an einem Buch lesenNoten, eine Partitur lesen ein Gesetz lesen Korrekturen, Fahnen lesen einen Autor lesen eine Messe lesen die Handschrift ist schlecht zu lesen etwas nicht lesen könnender Text ist so zu lesen , dass …ich habe darüber, davon gelesen.;german,de,sentence::mining,Tatort,sentence::recognition
""" ... <mark><b>trug</b></mark> das Kind DDRKleidung,";" tragen [Verb]:jemanden, etwas mit seiner Körperkraft halten, stützen und so fortbewegen, irgendwohin bringen sich in bestimmter Weise tragen lassen etwas von unten stützen ein bestimmtes Gewicht, eine bestimmte Last aushalten jemanden, etwas tragend bewegen, ohne dass jemand, etwas untergeht etwas ertragen etwas auf sich nehmen, übernehmen einen Körperteil in einer bestimmten Stellung halten einen Körperteil mithilfe von etwas stützend halten mit etwas Bestimmtem bekleidet sein; etwas angezogen, aufgesetzt o. Ä haben etwas als gegenstand, Schmuck o. Ä an, auf einem Körperteil an sich haben in bestimmter Weise gekleidet sein in bestimmter Weise frisiert sein eine bestimmte Trageeigenschaft haben bei sich haben haben hervorbringen trächtig sein eine bestimmte Reichweite haben drückt das Vorhandensein von etwas bei jemandem aus sich innerlich mit etwas beschäftigen, es in Erwägung ziehen jemanden, etwas mit seiner Körperkraft halten, stützen und so fortbewegen, irgendwohin bringenBeispieleein Kind auf dem Arm, in den Armen, huckepack tragenden Sack auf dem Rücken, den Korb auf dem Kopf trageneinen Koffer, jemandem die Tasche trageneine Einkaufstüte in der Hand, über der Schulter tragenein Paket zur Post tragender Hund trug eine Ratte im Mauldie Sanitäter trugen den Verletzten zum Krankenwagen<auch ohne Akkusativ-Objekt>: jemandem tragen helfenwir hatten schwer zu tragen <in übertragener Bedeutung>: das Pferd trägt den Reiter <in übertragener Bedeutung>: meine Beine, Knie tragen mich kaum noch <in übertragener Bedeutung>: das Auto wurde aus der Kurve getragen <in übertragener Bedeutung; auch ohne Akkusativ-Objekt>: laufen, so schnell die Füße tragen.";german,de,sentence::mining,Tatort,sentence::recognition
""" ... trug das Kind <mark><b>DDRKleidung</b></mark>,";die DDRKleidung [?]:None;german,de,sentence::mining,Tatort,sentence::recognition
